Category,CommunityName,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Assault (Non-domestic),EVANSTON,,,1,,,,,1,,2,,1
Assault (Non-domestic),EVERGREEN,,1,,,3,1,1,1,1,,,
Assault (Non-domestic),FAIRVIEW,1,,2,,,,,,1,1,,1
Assault (Non-domestic),FAIRVIEW INDUSTRIAL,,1,,1,,,,1,1,1,,1
Assault (Non-domestic),FALCONRIDGE,4,6,7,5,4,8,2,2,4,2,3,3
Assault (Non-domestic),FISH CREEK PARK,,,,,,,,,,,,
Assault (Non-domestic),FOOTHILLS,1,2,2,2,,3,2,3,4,,3,2
Assault (Non-domestic),FOREST HEIGHTS,2,,,2,4,1,3,2,2,5,,2
Assault (Non-domestic),FOREST LAWN,4,8,16,19,18,10,6,15,8,13,9,9
Assault (Non-domestic),FOREST LAWN INDUSTRIAL,2,1,2,1,3,3,2,5,5,2,1,
Assault (Non-domestic),FRANKLIN,2,,5,2,4,2,1,5,2,1,1,3
Assault (Non-domestic),GARRISON GREEN,,,,,,,,,,1,,
Assault (Non-domestic),GARRISON WOODS,,2,,,,1,,1,,,,
Assault (Non-domestic),GLACIER RIDGE,,,,,,,,,,,,
Assault (Non-domestic),GLAMORGAN,,1,,3,2,2,,1,1,1,3,1
Assault (Non-domestic),GLENBROOK,,1,,1,2,1,2,1,1,1,1,3
Assault (Non-domestic),GLENDALE,,1,,1,1,1,,2,3,1,2,
Assault (Non-domestic),GLENDEER BUSINESS PARK,,,,,,,,,,,,
Assault (Non-domestic),GLENMORE PARK,,,,,,,,1,,,,
Assault (Non-domestic),GOLDEN TRIANGLE,,,,,,,,,,,,
Assault (Non-domestic),GREAT PLAINS,1,,,,,,1,1,,,,1
Assault (Non-domestic),GREENVIEW,1,1,,1,2,,,2,,,,
Assault (Non-domestic),GREENVIEW INDUSTRIAL PARK,1,1,,,,1,5,2,,1,,
Assault (Non-domestic),GREENWOOD/GREENBRIAR,,,2,,,1,1,,,,,
Assault (Non-domestic),HAMPTONS,,,1,1,1,,,,,,,
Assault (Non-domestic),HARVEST HILLS,,1,1,,1,,,,,1,1,1
Assault (Non-domestic),HASKAYNE,,,,,,,,,,,,
Assault (Non-domestic),HAWKWOOD,1,1,,,,1,,,1,,1,1
Assault (Non-domestic),HAYSBORO,1,3,4,2,2,3,1,3,2,6,3,3
Assault (Non-domestic),HIDDEN VALLEY,,,1,,1,3,,,1,2,,2
Assault (Non-domestic),HIGHFIELD,,,,,,,1,2,1,,,
Assault (Non-domestic),HIGHLAND PARK,3,2,2,,4,2,1,2,2,2,6,2
Assault (Non-domestic),HIGHWOOD,,1,1,3,1,,1,,1,2,1,
Assault (Non-domestic),HILLHURST,2,6,3,1,5,2,5,5,1,1,3,4
Assault (Non-domestic),HOMESTEAD,,,,,,,,,,,,
Assault (Non-domestic),HORIZON,4,,,5,,3,2,4,1,3,2,1
Assault (Non-domestic),HOTCHKISS,,,,,,,,,,,,
Assault (Non-domestic),HOUNSFIELD HEIGHTS/BRIAR HILL,2,1,2,3,2,4,8,2,2,3,,4
Assault (Non-domestic),HUNTINGTON HILLS,1,7,3,3,5,2,3,,7,4,9,7
Assault (Non-domestic),INGLEWOOD,2,4,6,1,4,1,2,1,3,1,1,3
Assault (Non-domestic),KELVIN GROVE,,1,,,,,1,,1,1,1,2
Assault (Non-domestic),KEYSTONE HILLS,,,,,,,,,,,,
Assault (Non-domestic),KILLARNEY/GLENGARRY,1,2,2,1,2,5,3,2,1,,1,3
Assault (Non-domestic),KINCORA,,,,,1,,,1,,1,,
Assault (Non-domestic),KINGSLAND,,1,2,1,3,2,2,2,1,5,2,1
Assault (Non-domestic),LAKE BONAVISTA,,1,1,1,,2,,2,1,,,1
Assault (Non-domestic),LAKEVIEW,,,,,1,,,,1,1,,
Assault (Non-domestic),LEGACY,1,3,,,,1,1,,1,,2,2
Assault (Non-domestic),LINCOLN PARK,3,,,2,1,,1,1,,,,1
Assault (Non-domestic),LIVINGSTON,,,,1,,,,2,1,1,2,
Assault (Non-domestic),LOWER MOUNT ROYAL,,,4,2,1,4,1,,3,2,,3
Assault (Non-domestic),MACEWAN GLEN,,,2,,,,,,1,1,1,1
Assault (Non-domestic),MAHOGANY,1,1,1,1,2,2,1,,,1,2,1
Assault (Non-domestic),MANCHESTER,,1,,,1,2,2,1,,1,4,
Assault (Non-domestic),MANCHESTER INDUSTRIAL,3,5,4,5,3,5,6,9,2,7,5,5
Assault (Non-domestic),MAPLE RIDGE,,,,,,,,,,,,
Assault (Non-domestic),MARLBOROUGH,8,9,11,8,6,14,3,9,7,6,9,8
Assault (Non-domestic),MARLBOROUGH PARK,3,,3,3,2,1,2,4,4,3,,5
Assault (Non-domestic),MARTINDALE,3,6,2,6,6,7,3,1,2,4,5,6
Assault (Non-domestic),MAYFAIR,,,,,,,,,,,,
Assault (Non-domestic),MAYLAND,1,1,,,1,2,1,,2,,,2
Assault (Non-domestic),MAYLAND HEIGHTS,,,3,3,,,1,2,3,2,1,1
Assault (Non-domestic),MCCALL,,,1,,,2,1,2,,,,
Assault (Non-domestic),MCKENZIE LAKE,1,,,,1,1,,,,,,1
Assault (Non-domestic),MCKENZIE TOWNE,4,3,3,1,,3,3,4,3,2,3,1
Assault (Non-domestic),MEADOWLARK PARK,3,3,6,2,1,2,1,5,,3,2,3
Assault (Non-domestic),MEDICINE HILL,,,,,,,,,,,,
Assault (Non-domestic),MERIDIAN,,2,2,4,2,1,,2,1,,,2
Assault (Non-domestic),MIDNAPORE,,,,1,1,,1,,,1,,
Assault (Non-domestic),MILLRISE,,,,1,1,1,,,1,1,,3
Assault (Non-domestic),MISSION,1,,2,,,2,1,2,1,,1,
Assault (Non-domestic),MONTEREY PARK,1,,,,2,1,2,1,2,4,1,1
Assault (Non-domestic),MONTGOMERY,,2,2,1,1,4,,1,1,,2,1
Assault (Non-domestic),MOUNT PLEASANT,,,1,2,,3,1,,2,1,1,1
Assault (Non-domestic),NEW BRIGHTON,2,,,2,,,2,2,,2,2,1
Assault (Non-domestic),NOLAN HILL,1,,1,,,,,,1,,,
Assault (Non-domestic),NORTH AIRWAYS,,,,,,1,1,,,1,,
Assault (Non-domestic),NORTH GLENMORE PARK,,,,1,1,,,,,1,2,1
Assault (Non-domestic),NORTH HAVEN,,,,,,,,,,,1,
Assault (Non-domestic),NORTH HAVEN UPPER,,,,,,,,,,,,
Assault (Non-domestic),NOSE HILL PARK,,,,,,,,,,,,
Assault (Non-domestic),OAKRIDGE,2,,1,1,2,1,,1,,,,1
